"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://eghiseul.ro/politica-de-anulare/","7","Fereastra de anulare: 30 de minute","34","Cum anulezi, pas cu pas","23","Indexable",""
"https://eghiseul.ro/calculator/impozit-casa/","11","Cum se calculează impozitul pe clădiri","38","Ce influențează impozitul","25","Indexable",""
"https://eghiseul.ro/calculator/indemnizatie-somaj/","10","Cum se calculează indemnizația de șomaj","39","Suplimentul pe stagiu și durata indemnizației","45","Indexable",""
"https://eghiseul.ro/gdpr/","4","Principiile noastre","19","Persoane împuternicite (art. 28 GDPR)","37","Indexable",""
"https://eghiseul.ro/calculator/amenda-circulatie/","10","Cum se calculează amenda de circulație în 2026","46","Puncte de penalizare și suspendare","34","Indexable",""
"https://eghiseul.ro/politica-cookies/","7","Ce urmărim","10","Ce NU urmărim","13","Indexable",""
"https://eghiseul.ro/apostila-de-la-haga-ghid-acte-obtinere/","10","Ce este apostila și când îți trebuie","36","Cele trei instituții care aplică apostila — pe ce acte fiecare","62","Indexable",""
"https://eghiseul.ro/servicii/certificat-urbanism-informare/","8","Ce este certificatul de urbanism?","33","Când ai nevoie de certificat de urbanism","40","Indexable",""
"https://eghiseul.ro/calculator/tva/","11","Cotele de TVA în România în 2026","32","Cum se calculează TVA","21","Indexable",""
"https://eghiseul.ro/calculator/pensie-alimentara/","10","Cum se calculează pensia alimentară","35","Exemplu de calcul","17","Indexable",""
"https://eghiseul.ro/calculator/calculator-impozit-auto/","9","Cum se calculează impozitul auto în 2026","40","Reguli noi din 2026","19","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/persoana-fizica/","9","Cazier Judiciar pentru Persoană Fizică — Online, Fără Drum la Ghișeu","68","Prețuri transparente, fără surprize","35","Indexable",""
"https://eghiseul.ro/calculator/taxe-notariale/","11","Ce taxe plătești la notar","25","Onorariul notarial (grila OMJ 177/C/2024)","41","Indexable",""
"https://eghiseul.ro/schimbare-sediu-social-srl-ghid/","8","Actele necesare, în ordinea în care le pregătești","49","Același județ sau alt județ: diferența care schimbă dosarul","59","Indexable",""
"https://eghiseul.ro/calculator/calculator-procente/","10","Cum funcționează calculatorul de procente","41","Exemplu numeric pas cu pas: reducere și preț inițial","52","Indexable",""
"https://eghiseul.ro/servicii/plan-amplasament-delimitare/","8","Ce este planul de amplasament și delimitare și la ce folosește","62","Cum identifici imobilul pentru planul de amplasament","52","Indexable",""
"https://eghiseul.ro/curs-valutar/","7","Convertor valutar","17","Toate cursurile BNR","19","Indexable",""
"https://eghiseul.ro/calculator/cat-pot-construi/","8","Cum calculezi cât poți construi pe teren","40","Ce înseamnă POT și CUT, pe scurt","32","Indexable",""
"https://eghiseul.ro/calculator/","4","Salariu & muncă(15)","19","Fiscal & firmă(7)","17","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/","13","Alege Tipul de Cazier Judiciar","30","Ce Este Cazierul Judiciar și Cine îl Emite","42","Indexable",""
"https://eghiseul.ro/calculator/jugar-stanjen-in-mp/","7","Cum funcționează conversia unităților vechi de teren","52","De ce diferă unitățile pe regiuni","33","Indexable",""
"https://eghiseul.ro/servicii/rovinieta-online/","7","Cumpără Rovinieta","17","De ce să cumperi rovinieta online de aici?","42","Indexable",""
"https://eghiseul.ro/calculator/concediu-medical/","13","Cum se calculează indemnizația de concediu medical","50","Procentele în 2026","18","Indexable",""
"https://eghiseul.ro/servicii/actualizare-adresa-cf/","8","Ce înseamnă actualizarea adresei în cartea funciară","51","Ce date ne trebuie pentru actualizarea adresei","46","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-celibat/","11","Ce este Certificatul de Celibat","31","Când Ai Nevoie de Certificat de Celibat?","40","Indexable",""
"https://eghiseul.ro/tools/verificare-rovinieta-online/","9","Cum verifici rovinieta","22","Valabilitate rovinietă","22","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-nastere/","12","Certificat de Naștere — Duplicat sau Copie Legalizată Online","60","Când Ai Nevoie de Certificat de Naștere?","40","Indexable",""
"https://eghiseul.ro/politica-de-confidentialitate/","12","1. Operatorul de date","21","2. Ce date colectăm","19","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobile-proprietar/","8","Ce înseamnă identificarea imobilelor după proprietar","52","Ce date ne dai pentru căutarea după proprietar","46","Indexable",""
"https://eghiseul.ro/contact/","6","Telefon","7","Email","5","Indexable",""
"https://eghiseul.ro/servicii/cazier-auto-online/","13","Ce este Cazierul Auto și ce conține","35","Ce conține cazierul auto","24","Indexable",""
"https://eghiseul.ro/calculator/varsta-pensionare/","10","Cum se stabilește vârsta de pensionare","38","Egalizarea la 65 de ani","23","Indexable",""
"https://eghiseul.ro/servicii/extras-plan-cadastral/","8","Ce este extrasul de plan cadastral și la ce folosește","53","Cum identifici imobilul pentru planul cadastral","47","Indexable",""
"https://eghiseul.ro/calculator/valabilitate-documente/","6","Valabilitatea documentelor oficiale, pe scurt","45","De ce contează data exactă","26","Indexable",""
"https://eghiseul.ro/suspendare-activitate-firma-ghid/","8","Pasul 1: mențiunea la Registrul Comerțului","42","Pasul 2, cel uitat: inactivitatea temporară la ANAF","51","Indexable",""
"https://eghiseul.ro/servicii/extras-multilingv-certificat-nastere/","11","Extras Multilingv de pe Certificatul de Naștere — Online","56","Când Ai Nevoie de Extrasul Multilingv?","38","Indexable",""
"https://eghiseul.ro/blog/","1","Apostila de la Haga: pe ce acte se aplică, unde o obții și cât costă","68","","0","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/persoana-juridica/","10","Cazier Judiciar pentru Firmă (Persoană Juridică) — Online","57","Tipuri de Entități Acceptate","28","Indexable",""
"https://eghiseul.ro/servicii/certificat-de-integritate-comportamentala/","11","Ce este Certificatul de Integritate Comportamentală","51","Când Ai Nevoie de Certificat de Integritate Comportamentală?","60","Indexable",""
"https://eghiseul.ro/totul-despre-cartea-funciara-colectiva/","9","Ce este cartea funciară?","24","Cum apare cartea funciară colectivă","35","Indexable",""
"https://eghiseul.ro/inregistrare-nastere-copil-nou-nascut/","14","Ce înseamnă înregistrarea nașterii","34","Termenul legal: 30 de zile de la naștere","40","Indexable",""
"https://eghiseul.ro/ghid-complet-certificat-de-integritate-comportamentala/","9","Ce este certificatul de integritate comportamentală?","52","Diferențele față de cazierul judiciar","37","Indexable",""
"https://eghiseul.ro/verificare-proprietar-imobil/","11","De ce ai verifica proprietarul","30","Metoda 1: știi numărul de carte funciară sau cel cadastral","58","Indexable",""
"https://eghiseul.ro/ce-este-un-releveu/","10","Ce este un releveu","18","Ce conține releveul unui apartament","35","Indexable",""
"https://eghiseul.ro/valabilitate-certificat-de-celibat/","12","Ce este certificatul de celibat (Anexa 9)","41","Cele două valabilități, pe scurt","32","Indexable",""
"https://eghiseul.ro/calculator/reabilitare/","9","Când se șterge cazierul judiciar prin reabilitare","49","Tabelul termenelor de reabilitare (Cod Penal art. 165-167)","58","Indexable",""
"https://eghiseul.ro/calculator/taxa-judiciara-de-timbru/","11","Cum se calculează taxa judiciară de timbru","42","Exemplu de calcul pas cu pas","28","Indexable",""
"https://eghiseul.ro/calculator/contributii-pfa/","11","Cum se calculează contribuțiile PFA în 2026","43","Pragurile pe salariul minim (4.050 lei) în 2026","47","Indexable",""
"https://eghiseul.ro/calculator/impozit-chirie/","9","Cum se calculează impozitul pe chirie în 2026","45","Exemplu numeric: chirie de 2.500 lei/lună (termen lung)","55","Indexable",""
"https://eghiseul.ro/calculator/taxe-srl/","9","Cum se calculează taxele unui SRL","33","Micro 1% sau profit 16%?","24","Indexable",""
"https://eghiseul.ro/cazier-fiscal-persoana-fizica/","10","Ce este, mai exact, cazierul fiscal","35","Ce fapte se înscriu în cazierul fiscal","38","Indexable",""
"https://eghiseul.ro/servicii/certificat-detineri-imobile/","8","Ce este certificatul privind deținerea de imobile","49","Ce date sunt necesare pentru verificare","39","Indexable",""
"https://eghiseul.ro/servicii/copie-plan-cadastral/","8","Ce este copia planului cadastral și la ce folosește","51","Cum identifici imobilul pentru copia planului cadastral","55","Indexable",""
"https://eghiseul.ro/servicii/copie-intabulare/","8","Ce este copia de intabulare și la ce folosește","46","Cum identifici imobilul pentru copia de intabulare","50","Indexable",""
"https://eghiseul.ro/servicii/copie-inventar-coordonate/","8","Ce este inventarul de coordonate Stereo 70 și la ce folosește","61","Cum identifici imobilul pentru inventarul de coordonate","55","Indexable",""
"https://eghiseul.ro/servicii/copie-plan-incadrare/","8","Ce este planul de încadrare în zonă și la ce folosește","54","Cum identifici imobilul pentru planul de încadrare","50","Indexable",""
"https://eghiseul.ro/calculator/impozit-pensie/","12","Cum se impozitează pensia în 2026","33","Exemple de calcul","17","Indexable",""
"https://eghiseul.ro/servicii/extras-cf-colectiv/","8","Ce este extrasul de carte funciară colectivă și când îți trebuie","64","Cum identifici blocul pentru extrasul CF colectivă","50","Indexable",""
"https://eghiseul.ro/servicii/copie-contract-vanzare/","8","Ce este copia contractului de vânzare-cumpărare și când o ceri","62","Cum identifici imobilul pentru copia contractului","49","Indexable",""
"https://eghiseul.ro/transcriere-certificat-de-casatorie/","9","Ce este transcrierea și de ce este obligatorie","46","Acte necesare pentru transcrierea certificatului de căsătorie","61","Indexable",""
"https://eghiseul.ro/duplicat-certificat-de-casatorie/","12","Ce este, de fapt, duplicatul certificatului de căsătorie","56","Acte necesare pentru duplicatul certificatului de căsătorie","59","Indexable",""
"https://eghiseul.ro/servicii/copie-releveu/","8","Ce este releveul și la ce folosește copia după el","49","Cum identifici apartamentul pentru releveu","42","Indexable",""
"https://eghiseul.ro/servicii/copie-arhiva-ocpi/","8","Ce este copia certificată din arhiva OCPI și la ce folosește","60","Cum identifici imobilul pentru căutarea în arhivă","49","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/harghita/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/hunedoara/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/constanta/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/vaslui/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/valcea/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/dambovita/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/gorj/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/arad/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/brasov/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/maramures/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/giurgiu/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/botosani/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/iasi/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/sibiu/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/extras-carte-funciara-gratuit/","9","Ce primești gratuit prin MyTerra","32","Condiția: cont MyTerra cu identitate verificată","47","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/olt/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/ce-este-planul-cadastral/","9","Ce este planul cadastral","24","Ce conține planul cadastral","27","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/neamt/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/ialomita/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/cluj/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/alba/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/mehedinti/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/galati/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/timis/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/caras-severin/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/bacau/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/covasna/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/buzau/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/dolj/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/valabilitate-extras-de-carte-funciara/","6","De ce este importantă valabilitatea extrasului de carte funciară?","65","Termenul de valabilitate al extrasului de carte funciară","56","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/ilfov/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/tulcea/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/satu-mare/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/teleorman/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/vrancea/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/bistrita-nasaud/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/arges/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/mures/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/bihor/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/suceava/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/braila/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/prahova/","10","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/tabel-varsta-pensionare-anticipata-femei/","9","Ce este pensia anticipată?","26","Condițiile principale pentru pensionarea anticipată","51","Indexable",""
"https://eghiseul.ro/cum-aflam-numarul-carte-functionara-si-nr-cadastral/","11","Ce sunt cartea funciară și numărul cadastral?","45","De ce este important să știm aceste numere?","43","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/calarasi/","9","Ce este extrasul de carte funciară","34","Tipuri de extras de carte funciară","34","Indexable",""
"https://eghiseul.ro/certificat-constatator-pentru-fonduri-europene/","12","Ce este certificatul constatator și de ce îl cere finanțatorul","62","Unde se cere: granturi IMM vs. APIA și AFIR","43","Indexable",""
"https://eghiseul.ro/cazier-fiscal-fara-spv/","11","Ce este SPV și de ce este ruta gratuită","39","Cele două căi de înrolare în SPV","32","Indexable",""
"https://eghiseul.ro/sms-fals-amenda-ghiseul-ro/","8","Pe scurt: ce e frauda și de ce funcționează","43","Cum arată mesajul și semnele că e fals","38","Indexable",""
"https://eghiseul.ro/certificat-constatator-pentru-notar/","12","De ce îți cere notarul un certificat constatator","48","Pentru ce acte notariale ai nevoie de certificat constatator","60","Indexable",""
"https://eghiseul.ro/cazier-si-certificat-de-integritate-pentru-profesori/","11","Ce arată datele: interesul explodează înainte de școală","55","Cine trebuie să prezinte cele două documente","44","Indexable",""
"https://eghiseul.ro/certificat-constatator-pentru-banca/","13","Ce este certificatul constatator","32","De ce îți cere banca un certificat constatator","46","Indexable",""
"https://eghiseul.ro/cazier-judiciar-vs-certificat-integritate-comportamentala/","11","Ce este cazierul judiciar?","26","Ce este certificatul de integritate comportamentală","51","Indexable",""
"https://eghiseul.ro/verificare-cazier-fiscal/","11","Cum afli dacă ai ceva înscris","29","Ce scrie efectiv în certificat","30","Indexable",""
"https://eghiseul.ro/ancpi-nu-functioneaza/","13","Ce s-a întâmplat, pe scurt","26","Mai e picat ANCPI? Starea sistemelor, în timp real","50","Indexable",""
"https://eghiseul.ro/cazier-fiscal-firma/","10","Cazierul firmei și cazierul asociatului sunt două documente diferite","68","Când se cere cazierul fiscal și al cui","38","Indexable",""
"https://eghiseul.ro/tva-9-locuinte-31-iulie-2026/","9","Care sunt condițiile pentru TVA de 9%?","38","Cât pierzi dacă ratezi termenul de 31 iulie?","44","Indexable",""
"https://eghiseul.ro/certificat-de-nastere-pentru-buletin-pasaport/","12","Tabelul situațiilor","19","Buletin: certificatul de naștere se cere de fiecare dată","56","Indexable",""
"https://eghiseul.ro/acte-necesare-casatorie/","13","Unde și cum se depune declarația de căsătorie","45","Actele necesare pentru căsătorie","32","Indexable",""
"https://eghiseul.ro/certificat-constatator-pentru-licitatie/","10","Ce este certificatul constatator și de ce îl cere autoritatea contractantă","74","PDF-ul e-semnat este original și acceptat în SEAP","49","Indexable",""
"https://eghiseul.ro/amenda-rovinieta-2025-tarife-plata-online-ghid-complet/","10","Pe scurt","8","Cuantumul amenzii pe categorii de vehicule","42","Indexable",""
"https://eghiseul.ro/cazier-judiciar-online-gratuit/","9","Cele două rute gratuite, pe scurt","33","Pas cu pas, prin ghiseul.ro","27","Indexable",""
"https://eghiseul.ro/anii-lucrati-in-strainatate-se-pun-la-pensie-in-romania/","8","Totalizarea: la ce ajută concret anii din străinătate","53","Cum se calculează: pro rata temporis","36","Indexable",""
"https://eghiseul.ro/extras-de-carte-funciara-pentru-casa-verde/","12","Extrasul de carte funciară pentru Casa Verde 2024","49","Importanța cărții funciare în implementarea proiectelor Casa Verde","66","Indexable",""
"https://eghiseul.ro/certificat-de-celibat/","14","Ce este, de fapt, „certificatul de celibat”","43","Denumirea corectă: Anexa 9 (adeverință / dovadă de stare civilă)","64","Indexable",""
"https://eghiseul.ro/cat-costa-cadastrul-si-intabularea/","11","Răspunsul scurt","15","Din ce se compune prețul","24","Indexable",""
"https://eghiseul.ro/informatii-cazier-auto-online/","12","Diferența dintre cazierul auto și cazierul judiciar","51","Ce tipuri de fapte se consemnează","33","Indexable",""
"https://eghiseul.ro/transcriere-certificat-de-nastere/","12","Ce înseamnă transcrierea certificatului de naștere","50","De ce este obligatorie transcrierea","35","Indexable",""
"https://eghiseul.ro/duplicat-certificat-de-nastere/","11","Ce înseamnă duplicat de certificat de naștere","45","Noutatea din 2023: orice primărie, nu doar cea de la naștere","60","Indexable",""
"https://eghiseul.ro/certificat-de-nastere-pierdut/","13","Ce înseamnă, de fapt, „certificat de naștere pierdut”","53","Acte necesare pentru eliberarea unui certificat de naștere pierdut","66","Indexable",""
"https://eghiseul.ro/tools/","3","Verificare Rovinietă Online","27","Calculatoare 2026","17","Indexable",""
"https://eghiseul.ro/schimbare-certificat-de-nastere-vechi/","10","Când este nevoie să schimbi certificatul de naștere vechi","57","Ce înseamnă, de fapt, „schimbarea” certificatului","49","Indexable",""
"https://eghiseul.ro/taxa-cazier-judiciar/","8","De unde vine confuzia cu „taxa”","31","Ce plătești când îl obții online","32","Indexable",""
"https://eghiseul.ro/acte-necesare-certificat-de-nastere/","8","Acte necesare pentru un duplicat de certificat de naștere","57","Acte necesare pentru certificatul de naștere al unui nou-născut","63","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/piatra-neamt/","12","Cazier judiciar Piatra Neamț la ghișeu — sediul IPJ Neamț","57","Ce este cazierul judiciar și de ce ai nevoie de el în Piatra Neamț","66","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/targu-mures/","12","Cazier judiciar Târgu Mureș la ghișeu — sediul IPJ Mureș","56","Ce este cazierul judiciar și de ce ai nevoie de el în Târgu Mureș","65","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/resita/","12","Cazier judiciar Reșița la ghișeu — sediul IPJ Caraș-Severin","59","Ce este cazierul judiciar și de ce ai nevoie de el în Reșița","60","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/bucuresti/","12","Cazier judiciar București la ghișeu","35","Ce este cazierul judiciar și de ce ai nevoie de el în București","63","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/slatina/","12","Cazier judiciar Slatina la ghișeu — sediul IPJ Olt","50","Ce este cazierul judiciar și de ce ai nevoie de el în Slatina","61","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/tulcea/","12","Cazier judiciar Tulcea la ghișeu — sediul IPJ Tulcea","52","Ce este cazierul judiciar și de ce ai nevoie de el în Tulcea","60","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/satu-mare/","12","Cazier judiciar Satu Mare la ghișeu — sediul IPJ Satu Mare","58","Ce este cazierul judiciar și de ce ai nevoie de el în Satu Mare","63","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/buzau/","12","Cazier judiciar Buzău la ghișeu — sediul IPJ Buzău","50","Ce este cazierul judiciar și de ce ai nevoie de el în Buzău","59","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/suceava/","12","Cazier judiciar Suceava la ghișeu — sediul IPJ Suceava","54","Ce este cazierul judiciar și de ce ai nevoie de el în Suceava","61","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/turda/","12","Cazier judiciar Turda la ghișeu","31","Ce este cazierul judiciar și de ce ai nevoie de el în Turda","59","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/timisoara/","12","Cazier judiciar Timișoara la ghișeu — sediul IPJ Timiș","54","Ce este cazierul judiciar și de ce ai nevoie de el în Timișoara","63","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/bistrita/","12","Cazier judiciar Bistrița la ghișeu — sediul IPJ Bistrița-Năsăud","63","Ce este cazierul judiciar și de ce ai nevoie de el în Bistrița","62","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/cluj-napoca/","12","Cazier judiciar Cluj-Napoca la ghișeu — sediul IPJ Cluj","55","Ce este cazierul judiciar și de ce ai nevoie de el în Cluj-Napoca","65","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/alexandria/","12","Cazier judiciar Alexandria la ghișeu — sediul IPJ Teleorman","59","Ce este cazierul judiciar și de ce ai nevoie de el în Alexandria","64","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/sibiu/","12","Cazier judiciar Sibiu la ghișeu — sediul IPJ Sibiu","50","Ce este cazierul judiciar și de ce ai nevoie de el în Sibiu","59","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/ramnicu-valcea/","12","Cazier judiciar Râmnicu Vâlcea la ghișeu — sediul IPJ Vâlcea","60","Ce este cazierul judiciar și de ce ai nevoie de el în Râmnicu Vâlcea","68","Indexable",""
"https://eghiseul.ro/servicii/cazier-judiciar-online/braila/","12","Cazier judiciar Brăila la ghișeu — sediul IPJ Brăila","52","Ce este cazierul judiciar și de ce ai nevoie de el în Brăila","60","Non-Indexable","noindex"
"https://eghiseul.ro/servicii/cazier-judiciar-online/onesti/","12","Cazier judiciar Onești la ghișeu","32","Ce este cazierul judiciar și de ce ai nevoie de el în Onești","60","Non-Indexable","noindex"
