pages,question
1,"Pot depune declarația de căsătorie prin împuternicit?"
1,"Am nevoie de certificat de celibat ca să mă căsătoresc în România?"
1,"Ce acte sunt necesare pentru certificatul de naștere al unui nou-născut?"
1,"În cât timp trebuie înregistrat nou-născutul?"
1,"Ce acte trebuie dacă cer certificatul din străinătate sau din altă localitate?"
1,"Cât este amenda pentru lipsa rovinietei în 2026?"
1,"Pot plăti jumătate din amenda de rovinietă?"
1,"Unde pot plăti amenda de rovinietă?"
1,"Care este termenul de contestație pentru amenda de rovinietă?"
1,"Cât costă rovinieta în 2026?"
1,"De ce nu funcționează ANCPI?"
1,"Ce s-a întâmplat cu datele din cartea funciară? Sunt în pericol?"
1,"De ce nu funcționează e-Terra?"
1,"Până când e picat ANCPI?"
1,"Migrarea în Cloudul Guvernamental s-a terminat pe 22 iulie. De ce tot nu funcționează?"
1,"Datele mele din cartea funciară au fost afectate?"
1,"Pot obține un extras de carte funciară în această perioadă?"
1,"Cum primesc extrasul CF fără să urmăresc eu revenirea ANCPI?"
1,"Ce se întâmplă cu tranzacțiile imobiliare programate?"
1,"Am comandat un extras CF pe eGhișeul înainte de cădere. Ce se întâmplă cu el?"
1,"Extrasul CF pe care îl am deja mai e valabil?"
1,"Am antecontract cu termen de semnare care expiră în această perioadă. Ce fac?"
1,"Am credit ipotecar aprobat. Se pierde aprobarea?"
1,"Notarul mi-a anulat programarea. Trebuie să reiau toată procedura?"
1,"De ce durează atât reinstalarea? Nu aveau backup?"
1,"Am citit că e-Terra a repornit. De ce tot nu-mi pot lua extrasul?"
1,"Cum aflu în secunda în care revine ANCPI?"
1,"Anii lucrați în străinătate se pun la pensie în România?"
1,"Primesc o singură pensie sau mai multe?"
1,"Unde depun cererea de pensionare dacă locuiesc în alt stat membru?"
1,"Ce documente sunt necesare pentru recunoașterea anilor lucrați în străinătate?"
1,"Unde se plătește pensia?"
1,"Ce este apostila de la Haga?"
1,"Unde se aplică apostila în România?"
1,"Cât durează obținerea apostilei?"
1,"Am nevoie de apostilă pentru actele folosite în Uniunea Europeană?"
1,"Se apostilează originalul sau traducerea?"
1,"Ce fac dacă statul de destinație nu e membru al Convenției de la Haga?"
1,"Cât este un punct-amendă în 2026?"
1,"Cât e amenda pentru depășirea de viteză?"
1,"Pot plăti jumătate din amendă?"
1,"Când mi se suspendă permisul pentru puncte?"
1,"Cum sunt împărțite amenzile pe clase?"
1,"De la ce dată se aplică valoarea de 432,50 lei pe punct?"
1,"Punctele de penalizare afectează cazierul auto sau cel judiciar?"
1,"Ce se întâmplă dacă nu plătesc amenda în termen?"
1,"Pot contesta procesul-verbal de amendă?"
1,"Ce face acest calculator de dată?"
1,"Pot calcula doar zilele lucrătoare?"
1,"Cum aflu câte zile sunt între două date?"
1,"La ce este util un calculator de dată?"
1,"Rezultatul este oficial?"
1,"Cum se numără un termen pe luni sau pe ani?"
1,"Ce se întâmplă dacă termenul cade într-o zi de sărbătoare legală?"
1,"Pot calcula vârsta exactă a unei persoane?"
1,"Cum se calculează impozitul auto în 2026?"
1,"Mașinile electrice plătesc impozit?"
1,"De ce diferă suma față de ce plătesc eu?"
1,"Contează vârsta mașinii?"
1,"Cum aflu norma de poluare Euro a mașinii mele?"
1,"Plătesc impozit dacă mașina e nefolosită sau în reparații?"
1,"Când se plătește impozitul auto și există reduceri?"
1,"Cât este indemnizația de creștere a copilului în 2026?"
1,"Care este indemnizația minimă și maximă?"
1,"Se reține ceva din indemnizație?"
1,"Ce este stimulentul de inserție?"
1,"Câte luni de venituri se iau în calcul?"
1,"Cât primește efectiv o persoană cu venitul net mediu de 4.000 lei?"
1,"Indemnizația de creștere a copilului se cumulează cu alocația de stat?"
1,"Până la ce vârstă a copilului se acordă indemnizația?"
1,"Cât este stimulentul de inserție dacă mă întorc la muncă?"
1,"Poate tatăl să ia concediul de creștere a copilului?"
1,"Ce acte trebuie la dosarul de indemnizație?"
1,"Cum calculez X% dintr-o valoare?"
1,"Cum aflu cât la sută reprezintă un număr din altul?"
1,"Cum calculez creșterea sau scăderea procentuală?"
1,"Cum aplic o reducere de X% la un preț?"
1,"Cum aflu prețul inițial dinainte de o majorare?"
1,"De ce o creștere de 50% urmată de o scădere de 50% nu mă aduce la valoarea inițială?"
1,"Cum calculez procentul dintr-un total când am mai multe valori?"
1,"Care e diferența dintre puncte procentuale și procent?"
1,"Pot calcula mai multe reduceri aplicate una după alta?"
1,"Ce este POT (procentul de ocupare a terenului)?"
1,"Ce este CUT (coeficientul de utilizare a terenului)?"
1,"De unde aflu POT-ul și CUT-ul terenului meu?"
1,"Care este POT-ul maxim în zonele rezidențiale?"
1,"Ce intră în suprafața construită la calculul POT?"
1,"Pot construi 300 mp pe un teren de 500 mp?"
1,"Diferă POT-ul de la o localitate la alta?"
1,"Am nevoie de certificat de urbanism ca să cumpăr un teren?"
1,"Suprafața din acte diferă de cea măsurată. Pe care o folosesc?"
1,"Terenul e măsurat în ari sau jugăre. Cum calculez?"
1,"Cât durează concediul de maternitate în 2026?"
1,"Cât este indemnizația de maternitate?"
1,"Indemnizația de maternitate se impozitează?"
1,"Care este diferența dintre concediul de maternitate și cel de creștere a copilului?"
1,"Cine plătește indemnizația de maternitate?"
1,"Ce se întâmplă dacă venitul meu brut depășește plafonul?"
1,"Cum se calculează indemnizația dacă am avut luni cu venit incomplet?"
1,"Pot beneficia de indemnizație fără stagiu de asigurare?"
1,"Cât la sută din salariu primesc pe concediu medical în 2026?"
1,"Se plătește prima zi de concediu medical?"
1,"Cum se calculează baza?"
1,"Procentul de 55/65/75% se aplică pe toate zilele sau progresiv?"
1,"Există un plafon al indemnizației de concediu medical?"
1,"Accidentele de muncă au aceleași reguli ca boala obișnuită?"
1,"Din indemnizația de concediu medical se rețin impozit și contribuții?"
1,"Cine plătește indemnizația — angajatorul sau CNAS?"
1,"De câte luni de stagiu am nevoie ca să primesc indemnizația?"
1,"Câte zile de concediu paternal am dreptul în 2026?"
1,"În ce interval pot lua concediul paternal?"
1,"Cine plătește concediul paternal?"
1,"Cum obțin cele 5 zile suplimentare?"
1,"Concediul paternal se acordă în zile lucrătoare sau calendaristice?"
1,"Concediul paternal afectează concediul de odihnă anual?"
1,"Pot lua concediul paternal fracționat, în mai multe tranșe?"
1,"Tatăl adoptiv are dreptul la concediu paternal?"
1,"Ce contribuții plătește o PFA în 2026?"
1,"Care sunt plafoanele pentru CAS și CASS?"
1,"Dacă sunt și salariat, mai plătesc CASS la PFA?"
1,"Când se depune Declarația Unică?"
1,"Ce înseamnă plafonul de 6, 12, 24, 60 sau 72 de salarii minime?"
1,"Cum se calculează impozitul de 10% la PFA?"
1,"Plătesc CAS dacă am venituri mici la PFA?"
1,"Care e diferența între sistem real și normă de venit?"
1,"Pe ce bază se calculează CAS dacă venitul e între 12 și 24 de salarii minime?"
1,"Cât costă cadastrul pentru un apartament?"
1,"Cât costă cadastrul și intabularea pentru o casă cu teren?"
1,"Cât costă intabularea după cumpărarea unui imobil?"
1,"Cine plătește taxa de intabulare la vânzare-cumpărare?"
1,"Cât costă regimul de urgență la ANCPI?"
1,"De ce onorariile topografilor diferă atât de mult?"
1,"Ce documente îmi trebuie pentru cadastru și intabulare?"
1,"E obligatoriu să fac cadastrul?"
1,"Taxa ANCPI diferă de la un județ la altul?"
1,"Cum se calculează rata lunară la un credit ipotecar?"
1,"Ce înseamnă totalul de plată și dobânda totală?"
1,"Calculatorul include comisioanele și DAE?"
1,"De ce diferă rata calculată aici de oferta băncii?"
1,"Cum influențează perioada rata și costul total?"
1,"Avansul mai mare reduce rata lunară?"
1,"Pot rambursa anticipat ca să plătesc mai puțină dobândă?"
1,"Cât este diurna neimpozabilă în țară în 2026?"
1,"Cum se calculează diurna în străinătate?"
1,"Ce taxe se aplică pe partea impozabilă a diurnei?"
1,"Cum funcționează plafonul de 3 salarii de bază?"
1,"Diurna pe o deplasare mai scurtă de 12 ore se reduce?"
1,"Se cumulează diurna în țară cu cea din străinătate în aceeași lună?"
1,"Diurna neimpozabilă este venit net pentru angajat?"
1,"De unde vine valoarea de 23 lei folosită la calculul intern?"
1,"Ce se întâmplă dacă firma nu acordă deloc diurnă?"
1,"Cât este impozitul pe dividende în 2026?"
1,"Se plătește CASS pe dividende?"
1,"CASS se plătește chiar dacă am deja salariu?"
1,"Cum se calculează suma netă din dividende?"
1,"Contează data distribuirii sau data plății dividendelor?"
1,"CASS de pe dividende este deductibil sau îl recuperez?"
1,"Plătesc CASS dacă scot dividende dintr-un singur SRL, dar am și chirii?"
1,"Când se declară și se plătește CASS-ul pe dividende?"
1,"Se plătește impozit pe dividende dacă firma nu distribuie profitul?"
1,"Cât este dobânda legală penalizatoare în 2026?"
1,"Ce dobândă se aplică între profesioniști (B2B)?"
1,"Care este diferența dintre dobânda remuneratorie și cea penalizatoare?"
1,"Cum se calculează concret suma dobânzii?"
1,"Se aplică o reducere pentru persoanele fizice?"
1,"De unde provine rata de referință BNR de 6,50%?"
1,"Pot părțile să stabilească prin contract o altă dobândă?"
1,"Dobânda legală se calculează la suma cu sau fără TVA?"
1,"Cum se calculează pensia în 2026?"
1,"Cât este valoarea punctului de referință în 2026?"
1,"Ce sunt punctele de stabilitate?"
1,"Cât de exactă este estimarea?"
1,"De ce nu crește pensia mea în 2026?"
1,"Salariul peste media pe economie îmi crește pensia?"
1,"Stagiul sub 25 de ani aduce puncte de stabilitate?"
1,"Care este gradul maxim de îndatorare permis în 2026?"
1,"Cum se calculează gradul de îndatorare?"
1,"De ce am un plafon de 45% și nu 40%?"
1,"Intră toate creditele în calculul gradului de îndatorare?"
1,"Ce este testul de stres aplicat de bancă?"
1,"Pot avea două plafoane diferite în același timp?"
1,"Cum îmi pot reduce gradul de îndatorare înainte de a cere creditul?"
1,"Cum se calculează impozitul pe casă în 2026?"
1,"Ce reduceri se aplică pentru clădirile vechi?"
1,"De ce a crescut impozitul pe casă în 2026?"
1,"Cât este cota de impozitare?"
1,"Cum aflu coeficientul de corecție al casei mele?"
1,"Se cumulează reducerea pentru vechime cu indexarea din 2026?"
1,"Plătesc impozit dacă am mai multe locuințe?"
1,"Până când și cum se plătește impozitul pe casă?"
1,"Cum se schimbă impozitul după ce extind sau modific casa?"
1,"Cât este impozitul pe chirie în 2026?"
1,"Plătesc CASS pentru veniturile din chirie?"
1,"Cine plătește impozitul dacă închiriez unei firme?"
1,"Până când depun Declarația Unică pentru chirie?"
1,"Cum se calculează CASS dacă am chirie și alte venituri pasive?"
1,"Pot deduce cheltuieli reale în loc de cota forfetară?"
1,"Trebuie să înregistrez contractul de închiriere la ANAF?"
1,"Cum împart impozitul dacă apartamentul are doi proprietari?"
1,"Cât este impozitul pe pensie în 2026?"
1,"Se plătește CASS pe pensie în 2026?"
1,"Cum se calculează pensia netă?"
1,"Pensiile mici sunt impozitate?"
1,"De ce CASS se calculează înaintea impozitului?"
1,"Pensia de invaliditate sau de urmaș se impozitează la fel?"
1,"Cine reține impozitul și CASS din pensie?"
1,"O pensie de exact 3.001 lei cât plătește?"
1,"Pensiile private de la Pilonul II și III intră în acest calcul?"
1,"Se modifică pragul de 3.000 lei în fiecare an?"
1,"Cât este indemnizația de șomaj în 2026?"
1,"Cât timp se acordă șomajul?"
1,"Se reține ceva din indemnizația de șomaj?"
1,"Care este indemnizația minimă de șomaj?"
1,"Absolvenții primesc indemnizație de șomaj?"
1,"Cum se calculează stagiul de cotizare pentru șomaj?"
1,"Cum influențează salariul mediu brut cuantumul indemnizației?"
1,"Pot lucra în timp ce primesc indemnizație de șomaj?"
1,"Ce obligații am cât timp primesc șomaj?"
1,"Cum se calculează efectul inflației?"
1,"Ce rată a inflației folosește calculatorul?"
1,"De ce în unii ani inflația este negativă?"
1,"Care este diferența dintre rata anuală a inflației și factorul cumulat?"
1,"Inflația din calculator este aceeași cu cea resimțită de mine?"
1,"Pot folosi acest calculator pentru a actualiza o sumă dintr-un contract sau o pensie?"
1,"De ce contează atât de mult anii 2022 și 2023 în rezultat?"
1,"Ce se întâmplă dacă intervalul include ani de deflație?"
1,"Cât e un jugăr în metri pătrați?"
1,"Câți stânjeni are un jugăr?"
1,"Cât e o falce în metri pătrați?"
1,"Cât e un pogon în metri pătrați?"
1,"Care e diferența dintre jugărul cadastral și jugărul unguresc?"
1,"Cum transform stânjenii dintr-un CF vechi în metri pătrați?"
1,"De ce cărțile funciare vechi folosesc jugăre și stânjeni?"
1,"Un hectar câte jugăre are?"
1,"Există jugăr moldovenesc?"
1,"Cât e un stânjen?"
1,"Cât este dobânda de întârziere la ANAF?"
1,"Care e diferența între penalitatea de întârziere și cea de nedeclarare?"
1,"Se poate reduce penalitatea de nedeclarare?"
1,"Din ce zi încep să curgă accesoriile?"
1,"Se calculează accesorii și pentru sume sub 100 de lei?"
1,"Cum aflu suma exactă de plată a penalităților?"
1,"Se calculează accesorii și pe perioada eșalonării la plată?"
1,"Plata parțială reduce accesoriile pentru zilele următoare?"
1,"Cine datorează penalitatea de nedeclarare de 0,08%/zi?"
1,"Cât este pensia alimentară pentru un copil în 2026?"
1,"La ce venit se aplică procentul?"
1,"Cum se calculează pensia dacă părintele nu are venituri?"
1,"Se poate stabili pensia alimentară la notar?"
1,"Până la ce vârstă se plătește pensia alimentară?"
1,"Se poate modifica pensia alimentară?"
1,"Ce se întâmplă cu pensia dacă mai am alți copii dintr-o altă relație?"
1,"Pensia alimentară se calculează din venitul net sau brut?"
1,"Se plătește pensie alimentară dacă există custodie comună sau program egal de vizitare?"
1,"Care sunt gradele de invaliditate?"
1,"Cum se calculează pensia de invaliditate?"
1,"Ce este indemnizația de însoțitor?"
1,"Ce este stagiul potențial?"
1,"Se poate cumula pensia de invaliditate cu un salariu?"
1,"Ce se întâmplă cu pensia de invaliditate la vârsta de pensionare?"
1,"Cum afectează gradul de invaliditate cuantumul pensiei?"
1,"Ce este mai avantajos: să reduc perioada sau rata?"
1,"Se plătește comision la rambursarea anticipată?"
1,"Cum se calculează dobânda economisită?"
1,"Pot rambursa anticipat doar o parte din credit?"
1,"Trebuie să anunț banca înainte de a plăti anticipat?"
1,"Merită să rambursez anticipat sau să economisesc banii?"
1,"După cât timp se șterge cazierul judiciar?"
1,"Ce diferență e între reabilitarea de drept și cea judecătorească?"
1,"Ce se întâmplă după reabilitare?"
1,"De când începe să curgă termenul de reabilitare?"
1,"O nouă infracțiune oprește termenul de reabilitare?"
1,"Reabilitarea șterge condamnarea din cazierul cerut de instituții?"
1,"Trebuie să plătesc o taxă pentru cererea de reabilitare judecătorească?"
1,"Reabilitarea de drept și cea judecătorească au aceeași dată de start a termenului?"
1,"Ce rețineri se aplică la salariu în 2026?"
1,"Cât e salariul minim brut în 2026?"
1,"Ce este deducerea personală?"
1,"Mai există scutirea de impozit pentru IT?"
1,"Cât costă angajatorul un salariat în 2026?"
1,"Cât e salariul net la salariul minim în 2026?"
1,"De ce diferă netul meu de cel calculat aici?"
1,"Cât este sporul de noapte conform Codului Muncii?"
1,"Cum se plătesc orele suplimentare?"
1,"Cât primesc dacă lucrez de sărbătorile legale?"
1,"Pot fi sporurile mai mari decât minimele din lege?"
1,"Ce înseamnă munca de noapte?"
1,"Cum se calculează tariful orar pentru sporuri?"
1,"Se pot cumula sporul de noapte și cel pentru ore suplimentare?"
1,"Cum se calculează taxa de timbru pentru o cerere evaluabilă în bani?"
1,"Cât este taxa de timbru pentru divorț?"
1,"Se indexează taxa de timbru cu inflația?"
1,"Cât plătesc dacă fac apel?"
1,"Cum se calculează taxa pentru partaj (ieșire din indiviziune)?"
1,"Ce se întâmplă dacă greșesc suma taxei de timbru?"
1,"Există cereri scutite de taxa judiciară de timbru?"
1,"Unde se plătește taxa judiciară de timbru?"
1,"Cum se calculează onorariul notarial în 2026?"
1,"Cine plătește taxele notariale la vânzarea unui imobil?"
1,"Cât este impozitul pe vânzarea unui imobil în 2026?"
1,"Cât costă intabularea în cartea funciară?"
1,"Se plătește impozit pe donație sau pe moștenire?"
1,"Cât costă în plus actul dacă cumpăr cu credit ipotecar?"
1,"Ce este extrasul de carte funciară și cât costă?"
1,"Cine plătește intabularea la persoane juridice?"
1,"Sunt aceste sume exacte?"
1,"Ce impozit plătește o microîntreprindere în 2026?"
1,"Când e mai bine impozit pe profit decât micro?"
1,"Cât plătesc dacă scot profitul ca dividende?"
1,"Care este plafonul de TVA în 2026?"
1,"O firmă fără salariat mai poate fi microîntreprindere?"
1,"Pot lăsa profitul în firmă ca să nu plătesc impozit pe dividende?"
1,"Cum se schimbă calculul dacă firma depășește 100.000 EUR?"
1,"Cum se calculează un termen pe zile?"
1,"Există diferență între termenele civile și cele penale?"
1,"Cum se calculează termenele pe luni sau ani?"
1,"Ce se întâmplă dacă termenul se împlinește în weekend sau de sărbătoare?"
1,"Actul trimis prin poștă sau e-mail în ultima zi este în termen?"
1,"De când începe să curgă termenul pentru apel?"
1,"Cum dovedesc că am depus actul în termen prin poștă?"
1,"Termenul de un an care începe pe 29 februarie când se împlinește?"
1,"Cât este TVA standard în România în 2026?"
1,"Cum extrag TVA dintr-un preț care include TVA?"
1,"Mai există cota de 9%?"
1,"Ce factor folosesc ca să scot rapid TVA-ul dintr-un preț de 121 lei cu TVA 21%?"
1,"TVA se calculează la prețul cu sau fără TVA?"
1,"Cota de TVA depinde de produs sau de serviciu?"
1,"De la ce plafon devin plătitor de TVA?"
1,"Ce diferență e între plătitor și neplătitor de TVA pe factură?"
1,"Cum calculez prețul cu TVA dacă vând în 2026 cu cota standard?"
1,"Cât e valabil cazierul fiscal?"
1,"Cât e valabil extrasul de carte funciară?"
1,"Cât e valabil certificatul constatator?"
1,"Cât e valabil certificatul de integritate comportamentală?"
1,"Documentul expiră fix la termen sau la sfârșitul lunii?"
1,"Pot prelungi un document expirat?"
1,"Instituția mi-a cerut document „nu mai vechi de 30 de zile”, dar al meu e legal valabil 6 luni. Cine are dreptate?"
1,"Care este vârsta de pensionare în România în 2026?"
1,"Cât este stagiul complet de cotizare?"
1,"Pot ieși la pensie mai devreme?"
1,"De ce vârsta de pensionare diferă pe luni?"
1,"Ce se întâmplă dacă nu am stagiul minim de 15 ani?"
1,"Femeile se pot pensiona la aceeași vârstă ca bărbații?"
1,"Stagiul peste cel complet îmi crește pensia?"
1,"Cum se calculează vechimea în muncă?"
1,"La ce îmi folosește vechimea în muncă?"
1,"Vechimea se calculează în zile lucrătoare sau calendaristice?"
1,"Câți ani de vechime îmi trebuie pentru pensie?"
1,"Vechimea în muncă este același lucru cu stagiul de cotizare?"
1,"Concediile (medical, creștere copil, fără plată) intră în vechime?"
1,"Dacă am avut două contracte de muncă în același timp, vechimea se dublează?"
1,"Perioada de studii sau de șomaj contează la vechime?"
1,"De unde verific oficial vechimea și stagiul meu de cotizare?"
1,"Câte zile de concediu de odihnă am pe an?"
1,"Cum se calculează concediul proporțional?"
1,"Ce se întâmplă cu zilele neefectuate?"
1,"Pot reporta zilele de concediu în anul următor?"
1,"Sărbătorile legale și weekendul se scad din zilele de concediu?"
1,"Câte zile de concediu am dacă m-am angajat la jumătatea anului?"
1,"Cum se calculează indemnizația de concediu pe care o primesc?"
1,"Ce se întâmplă cu concediul dacă lucrez cu fracțiune de normă (part-time)?"
1,"Concediul fără plată reduce zilele de concediu de odihnă?"
1,"Câte zile lucrătoare are anul 2026?"
1,"Ce este o zi lucrătoare?"
1,"Ce sărbători legale se exclud din calcul?"
1,"De ce diferă numărul de zile lucrătoare de la an la an?"
1,"Sărbătorile care cad în weekend se recuperează?"
1,"Câte zile lucrătoare are o lună obișnuită?"
1,"Zilele de concediu se scad în zile lucrătoare sau calendaristice?"
1,"Calculatorul ține cont de sărbătorile mobile precum Paștele?"
1,"Cine plătește intabularea la vânzare-cumpărare?"
1,"E obligatoriu cadastrul?"
1,"Pot vinde un imobil fără intabulare?"
1,"Cât costă cadastrul la un apartament?"
1,"Ce este PAD-ul (planul de amplasament și delimitare)?"
1,"Taxa ANCPI e aceeași în toată țara?"
1,"Cât pot construi pe un teren de 500 mp?"
1,"Unde găsesc POT-ul și CUT-ul terenului meu?"
1,"Ce se întâmplă dacă depășesc POT-ul?"
1,"Certificatul de urbanism îmi dă dreptul să construiesc?"
1,"Balconul și terasa intră în POT?"
1,"Pot cere un POT mai mare decât cel din zonă?"
1,"Se poate scoate cazier fiscal online?"
1,"Cum obțin cazierul fiscal din SPV?"
1,"Ce formular se folosește pentru cazierul fiscal?"
1,"Ce este formularul 502?"
1,"Cât durează eliberarea cazierului fiscal prin SPV?"
1,"Cazierul fiscal online este gratuit?"
1,"Cum îmi fac cont SPV dacă sunt plecat din țară?"
1,"Pot scoate cazier fiscal fără cont SPV?"
1,"Cazierul fiscal primit în SPV este valabil fără ștampilă?"
1,"Pot cere din SPV-ul meu cazierul fiscal al firmei?"
1,"Ce este cazierul fiscal pentru persoană juridică?"
1,"Cum obțin cazierul fiscal pentru firmă online?"
1,"Am nevoie de cazier fiscal la înființarea unei firme?"
1,"Cazierul fiscal pentru SRL este același cu cel pentru PFA?"
1,"Ce se întâmplă cu cazierul fiscal al unei firme inactive?"
1,"Dacă am cazier fiscal pot fi asociat sau administrator?"
1,"Ce acte sunt necesare pentru cazier fiscal persoane juridice?"
1,"Se cere cazier fiscal la înființarea unei asociații?"
1,"Cazierul fiscal se cere la prelungirea sau schimbarea sediului social?"
1,"Cât este valabil certificatul de cazier fiscal pentru persoană juridică?"
1,"Ce este cazierul fiscal al persoanei fizice?"
1,"Cine are cazier fiscal?"
1,"Ce fapte se înscriu în cazierul fiscal?"
1,"Când se șterg faptele din cazierul fiscal?"
1,"Cine eliberează cazierul fiscal pentru persoane fizice?"
1,"Cât costă cazierul fiscal?"
1,"Se poate scoate cazierul fiscal online?"
1,"Care este diferența dintre cazierul fiscal și certificatul de atestare fiscală?"
1,"Am nevoie de cazier fiscal ca să înființez o firmă?"
1,"Cazierul judiciar online este într-adevăr gratuit?"
1,"Ce îmi trebuie ca să scot cazierul gratuit prin ghiseul.ro?"
1,"Dar prin HUB MAI?"
1,"Pot obține gratuit online cazierul judiciar pentru firmă?"
1,"Sunt cetățean străin cu ședere în România. Pot folosi ruta gratuită online?"
1,"Locuiesc în străinătate. Merge ruta gratuită?"
1,"Certificatul electronic e valabil peste tot? Îl pot printa?"
1,"Cât este valabil certificatul de cazier judiciar?"
1,"Am antecedente. Îl primesc tot pe loc?"
1,"Pot obține ambele documente simultan?"
1,"Cât durează eliberarea certificatului online?"
1,"Se poate refuza eliberarea certificatului de integritate?"
1,"Certificatul are valabilitate internațională?"
1,"Este obligatoriu pentru voluntariat în România?"
1,"Ce diferență este între cazierul judiciar și certificatul de integritate comportamentală?"
1,"Cât sunt valabile cele două documente?"
1,"Trebuie să le depun din nou la fiecare 6 luni dacă sunt deja angajat?"
1,"Pot depune dosarul de titularizare sau suplinire fără certificatul de integritate?"
1,"Cum le obțin rapid dacă nu ajung la ghișeu?"
1,"Ce este un plan cadastral?"
1,"Ce conține planul cadastral?"
1,"Care e diferența dintre planul cadastral și releveu?"
1,"Ce este extrasul de plan cadastral pe ortofotoplan?"
1,"Cum obțin un plan cadastral online?"
1,"Plan cadastral și extras de carte funciară — am nevoie de amândouă?"
1,"Ce înseamnă releveu?"
1,"Ce este un releveu de apartament?"
1,"Cine face releveul?"
1,"Cât costă un releveu?"
1,"Care e diferența dintre releveu și planul cadastral?"
1,"Cum obțin o copie a releveului?"
1,"Câte tipuri de certificat constatator există?"
1,"Ce tip de certificat constatator îmi trebuie?"
1,"Cât costă certificatul constatator online?"
1,"Cât durează eliberarea certificatului constatator?"
1,"Ce este certificatul constatator cu istoric?"
1,"Cât costă certificatul constatator cu istoric?"
1,"Când am nevoie de istoric și când ajunge certificatul de bază?"
1,"Ce îmi trebuie ca să îl comand?"
1,"Cât costă certificatul constatator de bază?"
1,"Ce conține certificatul constatator de bază?"
1,"Ce valabilitate are certificatul constatator de bază?"
1,"E valabil certificatul electronic, fără ștampilă?"
1,"Pot obține certificat constatator de bază pentru orice firmă?"
1,"Ce este certificatul constatator pentru insolvență?"
1,"Unde se cere certificatul de insolvență?"
1,"Cât costă și cât durează?"
1,"Nu văd starea de insolvență și în certificatul de bază?"
1,"Pot verifica gratuit dacă o firmă e în insolvență?"
1,"Ce valabilitate are certificatul?"
1,"De ce îmi cere banca un certificat constatator?"
1,"Ce versiune de certificat constatator îmi trebuie pentru bancă?"
1,"De câte zile trebuie să fie certificatul ca să fie acceptat de bancă?"
1,"Banca îmi cere certificatul „în original”. PDF-ul e-semnat este valabil?"
1,"Pot obține certificatul constatator pentru bancă fără să merg la ONRC?"
1,"De ce îmi cere finanțatorul un certificat constatator?"
1,"Ce tip de certificat constatator îmi trebuie pentru fonduri europene?"
1,"Certificatul emis online este acceptat la dosarul de finanțare?"
1,"Cât costă un certificat constatator pentru un dosar APIA sau AFIR?"
1,"CAEN-ul din certificat trebuie să corespundă activității finanțate?"
1,"Certificatul constatator în format PDF este acceptat în SEAP/SICAP?"
1,"Cu cât timp înainte de licitație trebuie emis certificatul constatator?"
1,"Ce tip de certificat constatator îmi trebuie pentru o licitație?"
1,"Ce dovedește certificatul constatator în fața autorității contractante?"
1,"Cât durează să obțin certificatul constatator online?"
1,"Ce tip de certificat constatator îmi cere notarul?"
1,"Cât de vechi poate fi certificatul constatator acceptat de notar?"
1,"Certificatul constatator în PDF e-semnat este acceptat de notar?"
1,"Care este diferența dintre certificatul de bază și raportul istoric?"
1,"Pot obține certificatul constatator pentru notar fără să merg la ONRC?"
1,"Cum obții certificat constatator pentru PFA?"
1,"Cât costă certificatul constatator pentru PFA?"
1,"Ce conține certificatul constatator de persoană fizică?"
1,"Unde se cere certificatul constatator de PFA?"
1,"CNP-ul meu e obligatoriu? De ce nu merge cu CUI?"
1,"Cât durează și când pot comanda?"
